WAST,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx,T
1/01/2010 9:00,8,151,23,0.1,1014.6,1018.1,1018.2,0,43.3,7,813,23.6,27,26.9,25.4,10,20.98
1/01/2010 9:10,8.7,161,28,0.1,1014.6,1018.1,1018.2,0,44.4,6,845,23.7,26.9,26.9,25.4,10,21.37
1/01/2010 9:20,8.9,176,21,0.2,1014.6,1018.1,1018.2,0,43.4,6,877,23.8,26.9,26.9,25.4,9,21.96
1/01/2010 9:30,8.3,143,25,0.1,1014.6,1018,1018.2,0,40.1,6,906,23.9,26.8,26.9,25.4,10,22.53
1/01/2010 9:40,8,140,26,0.1,1014.5,1017.9,1018.1,0,38.2,6,929,24.1,26.8,26.9,25.4,10,23.07
1/01/2010 9:50,7.7,157,23,0.2,1014.4,1017.8,1018,0,35.2,5,956,24.3,26.8,26.9,25.4,8,24.06
1/01/2010 10:00,6.9,149,22,0.1,1014.4,1017.8,1018,0,33.7,6,987,24.5,26.8,26.9,25.4,13,23.86
1/01/2010 10:10,6.7,149,25,0.2,1014.3,1017.7,1017.9,0,32.5,6,1009,24.6,26.7,26.9,25.4,9,24.2
1/01/2010 10:20,6.9,143,34,0.1,1014.4,1017.8,1018,0,31.8,6,1022,24.9,26.7,26.9,25.4,9,24.81
1/01/2010 10:30,6.3,151,23,0.2,1014.3,1017.7,1017.9,0,29.9,6,1044,25.1,26.7,26.9,25.4,10,25.19
1/01/2010 10:40,5.7,278,27,0.2,1014.4,1017.8,1018,0,28,6,1059,25.3,26.6,26.9,25.4,12,25.6
1/01/2010 10:50,5.5,170,25,0.1,1014.4,1017.8,1018,0,27.5,6,1083,25.6,26.6,26.9,25.4,9,25.63
1/01/2010 11:00,5.8,150,51,0.2,1014.3,1017.7,1017.9,0,27,5,1099,25.8,26.6,26.9,25.4,10,26.33
1/01/2010 11:10,5.3,140,28,0.2,1014.2,1017.6,1017.8,0,26,5,1099,26.1,26.5,26.9,25.4,8,26.4
1/01/2010 11:20,4.8,92,21,0.2,1014.2,1017.6,1017.8,0,25.3,6,1110,26.4,26.5,26.9,25.4,10,26.22
1/01/2010 11:30,4.9,184,40,0.1,1014.1,1017.5,1017.7,0,24,6,1113,26.7,26.5,26.9,25.4,11,27.3
1/01/2010 11:40,4.8,190,29,0.2,1014,1017.4,1017.6,0,23.6,5,1131,27,26.5,26.8,25.4,10,27.44
1/01/2010 11:50,5.6,186,29,0.2,1014,1017.4,1017.6,0,23.8,6,1126,27.2,26.5,26.9,25.4,10,28.19
1/01/2010 12:00,4.8,149,42,0.2,1013.9,1017.3,1017.5,0,22.9,6,1126,27.6,26.4,26.8,25.4,9,27.96
1/01/2010 12:10,8.2,59,89,0.2,1013.7,1017.1,1017.3,0,28.4,5,1124,27.9,26.4,26.8,25.4,10,28.26
1/01/2010 12:20,10.7,108,52,0.2,1013.6,1017,1017.2,0,37,7,1134,28.2,26.4,26.8,25.4,10,26.61
1/01/2010 12:30,11.1,234,33,0.2,1013.4,1016.8,1017,0,39.4,9,1131,28.5,26.4,26.8,25.4,17,26
1/01/2010 12:40,12,243,27,0.2,1013.4,1016.8,1017,0,39.6,10,1113,28.9,26.4,26.8,25.4,18,26.94
1/01/2010 12:50,11.2,224,34,0.1,1013.4,1016.8,1017,0,39.7,7,1115,29.1,26.4,26.8,25.4,16,26.05
1/01/2010 13:00,12.2,228,37,0.2,1013.1,1016.5,1016.7,0,38.9,8,1111,29.5,26.4,26.8,25.4,17,27.48
1/01/2010 13:10,12.2,226,38,0.2,1013.3,1016.7,1016.9,0,39.1,8,1092,29.8,26.4,26.8,25.4,15,27.35
1/01/2010 13:20,12.4,276,16,0.2,1013.2,1016.6,1016.8,0,41.1,10,1092,30.1,26.4,26.8,25.4,19,26.75
1/01/2010 13:30,12.3,142,36,0.2,1013.1,1016.5,1016.7,0,41.2,9,1071,30.4,26.4,26.8,25.4,15,26.67
1/01/2010 13:40,13,230,35,0.1,1013,1016.4,1016.6,0,41.7,9,1070,30.7,26.4,26.8,25.4,18,27.15
1/01/2010 13:50,13.5,273,37,0.2,1012.9,1016.3,1016.5,0,45.3,11,1051,31,26.4,26.8,25.4,19,26.35
1/01/2010 14:00,13.5,129,56,0.2,1013,1016.4,1016.6,0,42.6,10,1018,31.3,26.4,26.8,25.4,17,27.4
1/01/2010 14:10,13.7,235,29,0.2,1012.9,1016.3,1016.5,0,44.1,10,996,31.6,26.4,26.8,25.4,18,27.02
1/01/2010 14:20,13.8,358,97,0.1,1012.9,1016.3,1016.5,0,45.4,9,980,31.9,26.5,26.8,25.4,15,26.57
1/01/2010 14:30,13.1,224,38,0.2,1012.9,1016.3,1016.5,0,42.9,9,962,32.1,26.5,26.7,25.4,16,26.76
1/01/2010 14:40,13.9,9,83,0.1,1012.9,1016.3,1016.5,0,46.3,9,935,32.4,26.5,26.8,25.4,15,26.45
1/01/2010 14:50,13.8,104,71,0.2,1012.8,1016.2,1016.4,0,43.6,9,923,32.6,26.5,26.7,25.4,18,27.35
1/01/2010 15:00,14.1,223,37,0.1,1012.7,1016.1,1016.3,0,46.7,9,873,32.9,26.5,26.7,25.4,17,26.47
1/01/2010 15:10,14.2,123,63,0.2,1012.6,1016,1016.2,0,47.1,11,856,33.1,26.6,26.7,25.4,17,26.39
1/01/2010 15:20,14.4,330,56,0.1,1012.5,1015.9,1016.1,0,48.3,10,831,33.3,26.6,26.7,25.4,18,26.21
1/01/2010 15:30,14.7,222,38,0.2,1012.5,1015.9,1016.1,0,51.2,9,780,33.5,26.6,26.7,25.4,17,25.54
1/01/2010 15:40,14.9,228,35,0.1,1012.4,1015.8,1016,0,52.7,9,752,33.7,26.7,26.7,25.4,17,25.34
1/01/2010 15:50,15.1,228,34,0.1,1012.4,1015.8,1016,0,51,8,723,33.8,26.7,26.7,25.4,15,26.12
1/01/2010 16:00,14.6,217,34,0.1,1012.3,1015.7,1015.9,0,50.9,7,692,34,26.7,26.7,25.4,13,25.6
1/01/2010 16:10,14.8,217,35,0.1,1012.2,1015.6,1015.8,0,52.1,7,647,34.1,26.8,26.7,25.4,15,25.39
1/01/2010 16:20,14.9,222,36,0.1,1012.3,1015.7,1015.9,0,52.3,9,604,34.3,26.8,26.7,25.4,17,25.46
1/01/2010 16:30,14.9,223,40,0.1,1012.3,1015.7,1015.9,0,53,8,575,34.4,26.9,26.7,25.4,15,25.18
1/01/2010 16:40,15.3,251,56,0.1,1012.3,1015.7,1015.9,0,53.7,7,534,34.5,26.9,26.7,25.4,12,25.39
1/01/2010 16:50,15.6,213,44,0.1,1012.2,1015.6,1015.8,0,54.2,7,513,34.6,27,26.7,25.4,11,25.53
1/01/2010 17:00,14.8,207,36,0,1012.2,1015.6,1015.8,0,50.3,6,475,34.7,27,26.7,25.4,15,25.94
1/01/2010 17:10,13.9,202,37,0.1,1012.2,1015.6,1015.8,0,48.1,7,434,34.7,27.1,26.6,25.4,10,25.8
1/01/2010 17:20,13.8,342,89,0.1,1012.3,1015.7,1015.9,0,49.4,7,402,34.8,27.1,26.7,25.4,12,25.23
1/01/2010 17:30,13.9,107,96,0.1,1012.3,1015.7,1015.9,0,51.4,8,359,34.8,27.1,26.6,25.4,12,24.67
1/01/2010 17:40,14.3,208,32,0,1012.4,1015.8,1016,0,50.7,6,326,34.9,27.2,26.7,25.4,10,25.32
1/01/2010 17:50,14.1,201,34,0.1,1012.6,1016,1016.2,0,52.2,7,312,34.9,27.2,26.6,25.4,11,24.64
1/01/2010 18:00,14.3,207,35,0,1012.6,1016,1016.2,0,52.9,7,273,34.9,27.3,26.6,25.4,11,24.6
1/01/2010 18:10,14.4,212,36,0.1,1012.6,1016,1016.2,0,53.7,6,226,34.9,27.3,26.7,25.4,10,24.45
1/01/2010 18:20,14.4,325,83,0,1012.7,1016.1,1016.3,0,53.7,6,187,34.8,27.4,26.6,25.4,9,24.42
1/01/2010 18:30,14,292,42,0,1012.8,1016.2,1016.4,0,52.2,6,145,34.8,27.4,26.6,25.4,10,24.47
1/01/2010 18:40,14.2,201,29,0,1012.9,1016.3,1016.5,0,53.8,5,109,34.7,27.5,26.6,25.4,9,24.23
1/01/2010 18:50,14.2,257,73,0.1,1013,1016.4,1016.6,0,55.1,5,64,34.6,27.6,26.6,25.4,10,23.84
1/01/2010 19:00,14.4,199,22,0,1013.1,1016.5,1016.7,0,56.3,5,28,34.5,27.6,26.6,25.4,10,23.64
1/01/2010 19:10,14.5,206,30,0,1013.1,1016.5,1016.7,0,58,4,38,34.4,27.6,26.6,25.4,7,23.24
1/01/2010 19:20,14.5,132,84,0,1013.4,1016.8,1017,0,59.2,5,28,34.3,27.7,26.6,25.4,8,22.97
1/01/2010 19:30,14.6,197,21,0,1013.4,1016.8,1017,0,60.4,5,19,34.2,27.7,26.6,25.4,8,22.76
1/01/2010 19:40,14.6,201,19,0,1013.5,1016.9,1017.1,0,61.5,4,13,34,27.8,26.6,25.4,6,22.41
1/01/2010 19:50,14.3,191,17,0,1013.6,1017,1017.2,0,60.7,5,11,33.9,27.8,26.6,25.4,7,22.28
1/01/2010 20:00,13.7,69,70,0,1013.7,1017.1,1017.3,0,57.9,6,12,33.7,27.9,26.6,25.4,8,22.41
1/01/2010 20:10,13.4,182,18,0,1013.8,1017.2,1017.4,0,57,6,14,33.5,27.9,26.6,25.4,10,22.32
1/01/2010 20:20,13.2,178,16,0,1013.9,1017.3,1017.5,0,57.4,6,18,33.4,28,26.6,25.4,10,22.1
1/01/2010 20:30,13.3,174,21,0,1014.1,1017.5,1017.7,0,57.2,6,21,33.2,28,26.6,25.4,9,22.22
1/01/2010 20:40,13.2,173,21,0,1014.1,1017.5,1017.7,0,57.4,6,13,33.1,28,26.6,25.4,10,22.09
1/01/2010 20:50,13.2,176,19,0,1014.1,1017.5,1017.7,0,57.5,6,26,32.9,28.1,26.6,25.4,10,22.03
1/01/2010 21:00,13,173,18,0,1014.1,1017.5,1017.7,0,57.5,6,17,32.7,28.1,26.6,25.4,10,21.79
1/01/2010 21:10,13,171,20,0,1014.2,1017.6,1017.8,0,57.4,6,27,32.5,28.1,26.6,25.4,10,21.84
1/01/2010 21:20,12.9,169,20,0,1014.2,1017.7,1017.8,0,58.2,5,32,32.3,28.2,26.6,25.4,8,21.55
1/01/2010 21:30,13,169,15,0,1014.1,1017.6,1017.7,0,58.8,6,21,32.1,28.2,26.6,25.4,8,21.46
1/01/2010 21:40,13.1,173,16,0,1014.1,1017.6,1017.7,0,59.6,6,21,32,28.2,26.6,25.4,12,21.29
1/01/2010 21:50,13.1,172,20,0,1014.2,1017.7,1017.8,0,60.4,6,9,31.8,28.2,26.6,25.4,9,21.07
1/01/2010 22:00,13.2,174,17,0,1014.2,1017.7,1017.8,0,61.1,6,8,31.6,28.3,26.6,25.4,11,20.98
1/01/2010 22:10,13.2,174,18,0,1014.3,1017.8,1017.9,0,61.9,6,16,31.5,28.3,26.6,25.4,11,20.77
1/01/2010 22:20,13.2,172,17,0,1014.2,1017.7,1017.8,0,62.8,6,22,31.3,28.3,26.6,25.4,9,20.55
1/01/2010 22:30,13.2,171,16,0,1014.2,1017.7,1017.8,0,63.5,5,16,31.1,28.3,26.6,25.4,9,20.43
1/01/2010 22:40,13.1,179,11,0,1014,1017.5,1017.6,0,64.9,4,21,31,28.3,26.6,25.4,7,19.99
1/01/2010 22:50,13.1,171,14,0,1014,1017.5,1017.6,0,65.7,4,21,30.8,28.4,26.6,25.4,6,19.8
1/01/2010 23:00,13.1,171,10,0,1013.9,1017.4,1017.5,0,66.6,4,11,30.6,28.4,26.6,25.4,5,19.5
1/01/2010 23:10,13.3,169,10,0,1014,1017.5,1017.6,0,67.8,4,22,30.5,28.4,26.7,25.4,8,19.41
1/01/2010 23:20,13.4,167,15,0,1014,1017.5,1017.6,0,67.8,6,19,30.3,28.4,26.6,25.4,9,19.55
1/01/2010 23:30,13.1,165,14,0,1014,1017.5,1017.6,0,67.1,5,19,30.2,28.4,26.6,25.4,8,19.41
1/01/2010 23:40,12.6,165,14,0,1014.1,1017.6,1017.7,0,65.8,5,21,30,28.4,26.6,25.4,7,19.26
1/01/2010 23:50,11.8,144,20,0,1014.2,1017.7,1017.8,0,60.3,4,13,29.9,28.4,26.7,25.4,6,19.71
2/01/2010 0:00,11.1,130,17,0,1014.2,1017.7,1017.8,0,57.1,5,13,29.7,28.4,26.7,25.4,7,19.84
2/01/2010 0:10,11,127,13,0,1014.3,1017.8,1017.9,0,58,4,22,29.6,28.4,26.7,25.4,7,19.48
